symbol,name,close,open,value,volume
OIIM,Mybuzz,955.31,341.32,199.69,365855581
KMPH,Divape,600.08,261.33,269.23,320794609
SOI,Oyoloo,549.83,771.83,723.22,101589569
OHI,Devpoint,773.05,44.86,207.64,374339616
FCA,Midel,29.72,524.47,188.61,164842687
XOXO,Topicshots,740.92,801.97,322.06,501972403
COF^D,Kwideo,849.26,29.2,970.94,559607540
CVE,Quinu,608.74,507.42,417.4,15497326
FULLL,Abata,879.98,375.85,805.22,764074683
INWK,Feednation,126,621.69,41.55,975620324
RVLT,Youfeed,407.1,358.76,821.37,849615228
CNTY,Browsebug,270.94,151.37,517.85,998935279
KTCC,Trupe,572.41,649.3,722.14,500059528
TYG,Blogtag,705.18,158.24,62.45,574810529
PAAS,Plambee,545.95,499.28,30.12,592715809
DUK,Yambee,739.65,388.3,928.64,595971019
FWRD,Ainyx,406.34,791.26,470.29,510468309
SPAR,Shuffledrive,495.86,425.2,818.02,418031080
FELE,Photobug,523.91,621.64,194.48,36204901
AMH,Topdrive,825.17,607.43,894.75,547765291
BW,Blogspan,774.75,604.5,715.71,632836156
CENTA,Meejo,265.29,161.95,435.79,565609013
GRP.U,Janyx,808.66,951.73,417.69,679436319
SUMR,Ntag,929.3,53.01,956.3,585549582
FFBC,Topicware,127.23,939.03,567.04,246483678
IRS,Divavu,693.96,429.31,240.91,160329782
ROSE,Twitterbeat,854.05,223.75,404.69,143045519
GILD,Oyonder,269.67,280.02,781.56,178138449
AIF,Jetwire,97.81,410.7,240.94,493167993
NEE,Eamia,622.51,906.58,500.96,648248081
BFS^C,Jayo,435.32,533.33,447.94,744375425
ABEOW,Dabjam,749.77,873.02,694.48,166000843
DWFI,InnoZ,327.25,38.98,309.08,861449721
PUK^A,Topicblab,39.69,502.72,999.3,897809249
GALT,Realbuzz,433.78,165.91,551.52,868609935
TMK,Oyonder,259.33,800.11,601.5,592240712
AMSWA,Riffwire,49.48,53.19,819.9,935797132
ABM,Twimbo,514.92,679.78,13.26,733304838
AXS^E,Realbuzz,276.35,153.23,257.1,728547666
LBIX,Brightbean,953.42,835.19,345.21,419846432
HD,Rooxo,538.09,615.41,518.39,468228972
CVEO,Skimia,720.13,471.16,50.75,204111267
GOV,Quatz,206.35,320.61,747.09,221161296
KATE,Buzzster,648.23,754.93,515,603428090
EGLT,Jatri,654.74,781.56,710.14,535347831
WRE,JumpXS,37.21,371.14,552.74,851684573
UHAL,Oloo,832.04,707.07,134.99,832946561
TNC,Vimbo,215.27,854.59,308.82,307443101
CNAT,Rhynoodle,318.49,984.21,308.31,271834671
COTY,Vinte,748.4,148.32,599.24,672988952
PNTR,Katz,165.23,666.52,407.44,618202465
GURE,Eimbee,935.29,615.85,128.94,320099333
SASR,Omba,276.66,867.74,981.02,969933358
CMCSA,Realblab,12.04,661.25,65.49,686881700
CCBG,Innotype,198.28,926.76,249.71,804540435
ATAI,Tagchat,866.03,614.84,760.13,537181231
GJP,Aimbo,947.52,666.04,229.84,710636904
ADOM,JumpXS,26.01,260.04,603.74,654001089
NTGR,Riffpedia,869.85,715.77,127.7,911745516
THLD,Trupe,190.37,547.63,26.07,77108278
PRSS,Twimbo,257.41,479.89,44.26,760295119
JBT,Yakitri,62.04,30.57,63.51,593885665
MN,Kwimbee,741.65,12.88,968.48,668365224
EDGE,Edgetag,549.61,380.22,75.37,295767845
PAYX,Zoovu,135.61,836.02,40.21,853803738
UNP,Aimbo,816.79,954.69,940.93,134512817
BRK.B,Abata,31.04,227.15,330.89,173331231
EIG,Tazzy,615.61,465.51,490.23,163414947
AGIIL,Teklist,146.46,11.45,798.77,151278933
TEN,Avaveo,384.7,339.29,376.33,122417650
CNXC,Youbridge,858.17,412.48,19.26,768024306
ALSK,Zoombeat,78.2,651.71,438.68,416074505
FATE,Yombu,935.3,420.88,648.49,301548565
ATVI,Yamia,563.17,330.4,208.04,535539472
ARCC,Trilia,250.8,83.57,80.65,697584278
REXR^A,Oyope,564.02,42.93,82.96,320643833
HSBC,Zoomcast,398.06,737.97,538.67,977180276
EVSTC,Realcube,851.28,732.37,156.6,649595873
APOP,LiveZ,827.64,510.14,755.3,975769171
BBT^H,Dynabox,802.83,457.5,821.2,797660418
P,Jaxworks,965.98,927.23,525.3,160809959
WGP,Youspan,814.03,47.31,751.64,990513222
IART,Twinder,742.75,485.19,609.83,921999617
KE,Kazu,278.83,569.23,677.54,242756611
SUNW,Fivechat,345.42,573.98,321.87,55205927
TCMD,Shufflebeat,548.54,768.57,58.13,448693670
JSM,Babbleblab,498.11,195.23,828.54,224357713
TRCO,Meemm,293.46,229.33,769.6,966231805
NBLX,Eamia,581.42,791.71,435.19,370158046
SXC,Realblab,174.21,988.16,671.14,573127438
VSTO,Mynte,843.47,185.89,46.04,679871399
RFTA,Tazz,30.78,906.37,110.56,721367540
KNSL,Kwinu,78.97,225.98,521.29,349208562
FHK,Katz,315.86,679.08,292.79,942911654
OEC,Edgepulse,449.5,799.63,68.42,464516122
MORN,Quire,123.14,742.32,700.5,626913776
LTM,Gevee,82.69,972.21,790.04,350352160
CYS,Mynte,239.82,511.14,113.17,701319861
TDW,Feedbug,508.82,207.42,507.78,98549747
SCHW^D,Oloo,100.13,306.11,431.27,706059698
CTRE,Brainverse,629.02,887.74,882.84,553395623
LPNT,Jayo,126.15,269.25,750.96,653956587
QQEW,Youtags,233.29,972.77,128.21,451310340
TOO^A,Oyondu,927.5,688.76,467.67,846913358
SAB,Feedspan,441.82,77.94,395.81,46253727
PBSK,Edgepulse,745.31,72.33,471.91,16895326
SLRC,Livetube,866.74,1.32,939.22,460959474
TRNO,Avaveo,831.55,584.47,207.87,562595934
PEI^A,Bubblebox,624.37,951.2,982.6,511682276
PID,Tazzy,773.18,236.07,583.16,146633241
ACFC,Skibox,163.33,788.32,962.11,495528845
CWBC,Thoughtblab,876.76,963.9,845.01,771415902
QRVO,Quaxo,517.79,947.25,287.56,374018627
FLXS,Feedfire,5.97,837.88,366.83,394188296
NSR,Realbuzz,120.19,598.62,385.55,288665140
CLNS^C,Photobean,824.63,401.53,747.43,449315410
EYESW,Thoughtmix,83.71,549.24,897.11,250789955
CCJ,Thoughtstorm,738.55,152.61,176.92,314103277
ENLK,Oba,848.16,356.66,195.35,443631878
NPV,Youbridge,906.42,714.28,711.28,184189166
TFX,Jabbersphere,618.86,571.66,998.8,362884737
NVFY,Npath,211.5,944.66,591.05,138770836
INPX,Blognation,157.28,605.43,338.28,480172512
PLD,Geba,97.34,759.1,697.27,872779030
MCRI,Voolia,204.88,786.64,39.38,267467536
RDC,Eimbee,749.96,122.08,849.71,148064534
TSNU,Yodel,766.9,102.17,530.42,488580182
OHGI,Realmix,116.04,775.69,527.82,139306313
GALT,Avaveo,587.83,744.65,967.23,20850790
DCI,Camido,14,898.51,109.86,181770765
FCF,Latz,784.53,733.96,725.25,54844053
RGLD,Pixope,779.9,912.58,960.3,17397482
DSX,Roomm,494.41,716.07,22.39,944177230
KMX,Skippad,919.64,886.91,236.79,731342044
CRUS,Oodoo,31.51,301.23,163.19,838247642
LECO,Agimba,545.78,538.54,946.16,650803114
FNHC,Skiptube,896.61,702.62,68.61,853489557
EZT,Photofeed,393.1,608.34,464.58,492710747
ORMP,Jaxspan,240.6,991.86,995.04,34835729
CINF,Centimia,664.08,896.3,851.26,145543005
BRS,Mymm,427.21,233.92,252.76,91548695
YPF,Devify,888.34,852.63,762.99,319500857
WAT,Digitube,637.64,731.59,274.01,888392876
CSGS,Twitternation,882.69,981.63,702.81,803844531
SMFG,Buzzdog,488.79,190.05,899.9,763377140
E,Jetwire,595.35,769.42,338.78,805775931
NVUS,Midel,123.57,565.35,448.88,117247042
CLMT,Youtags,148.61,738.97,693.75,273237084
OPK,Voonte,927.05,519.41,220.77,879148107
EPC,Babblestorm,545,575.93,834.5,761941459
AVDL,Mydeo,339.74,869.63,391.88,613235412
GLOP,Dynava,445.82,557.05,701.37,625112966
NYLD.A,Blogspan,836.29,389.08,732.28,628354903
GM,Wordware,645.57,562.16,684.28,836098838
NEU,Zoombox,744.37,449.75,939.44,730024029
CELG,Gabvine,543.06,744.92,569.43,638899989
SLP,Meeveo,656.18,135.31,886.85,716750793
SALM,Browsebug,805.44,644.21,610.46,994875849
APAM,Shufflester,929.1,195.62,110.44,822088862
DERM,Reallinks,3.24,155.77,767.94,719098444
CMRE,Dabfeed,533.17,375.04,474.38,335791585
GTYHW,Youspan,533.61,562.58,735.15,51606174
FRT,Vinte,747.47,912.97,115.36,775011519
PSA^U,Avamm,875.14,842.06,521.05,982521569
NEPT,Skalith,527.39,237.94,701.49,894548135
CNX,Yoveo,924.22,247.9,435.89,135445517
CCO,Shuffledrive,20.77,318.58,792.12,469070420
EVHC^,Eimbee,941.02,512.82,620.82,558660858
BOLD,Devshare,716.5,58.13,246.97,626581716
NWS,Cogidoo,78.39,626.46,470.04,92126309
GJP,Browsedrive,494.24,683.06,664.04,667567836
TCO^J,Oloo,707.84,555.86,645.72,517752620
BIOS,Thoughtbridge,35.02,613.2,555.98,952615447
RGEN,Avamba,600.98,303.87,9.26,68125719
CBSHP,Tagfeed,906.01,617.54,120.75,663743801
GEF,Divape,15.7,885.78,136.81,588224800
LCAHW,Edgetag,857.56,812.71,835.75,254975216
AZZ,Pixope,161.53,181.09,153.53,854563042
BSD,Skiptube,696.54,270.16,249.37,957969428
STT^E,Latz,596.2,243,22.92,137511306
RVLT,Quire,442.95,704.55,395.68,221796421
ZEN,Zava,12.45,671.94,830.47,569820011
STAG^C,Fadeo,404.07,447.09,902.88,814563688
BVXV,Vinder,19.75,65.32,761,368627437
DGLT,Pixonyx,947.94,716.98,825.2,650025865
CDZI,Browsetype,363.66,416.38,971.27,127252614
BFIN,Feedspan,224.42,589.35,499.86,917677210
GNW,Quamba,906.85,29.71,947.63,373016630
NLY,Skynoodle,839.03,565.6,900.9,717279039
TRN,Rooxo,892.57,667.01,287.51,887595075
RLI,Vinder,675.29,48.22,41.92,780494708
IMAX,Realpoint,186.55,787.53,823.69,293060764
CAPL,Jamia,460.79,706.43,586.04,467063234
SZC,Skibox,545.6,482.59,704.75,761933655
FTSM,Snaptags,540.43,381.52,138.74,433407958
DLNG,Babblestorm,36.36,212.28,447.21,161217102
RBS^S,Eayo,496.25,254.86,8.63,437484633
FSTR,Youbridge,52.43,538.14,221.17,955367111
EBIX,Voonder,973.1,504.55,5.35,311721368
VEON,Skimia,940.89,993.12,912.13,433182645
SSW^E,Thoughtbridge,405.08,343.38,507.22,799194296
KMM,Yoveo,382.95,757.33,870.21,678317522
KYN,Innojam,237.9,349.69,603.31,473766808
MCEP,Topdrive,477.58,936.46,739.32,674451672
KWEB,Edgetag,943.11,569.51,443.76,733602843
OA,Jatri,528.85,519.1,913.82,678258441
ASMB,Skyndu,799.5,300.44,736.84,95304287
LXP,Gigashots,683.78,300.87,968.61,17019310
THGA,Skimia,682.05,191.91,701.28,715099881
ETH,Pixope,402.44,864.67,189.39,921836974
TILE,Fivespan,851.48,753.12,93.69,114074357
NVCN,Skibox,125.19,394.26,342.93,469313072
LYTS,Browsetype,903.84,272.07,308.12,956411174
EGHT,Quatz,699.12,64.4,807.59,374317180
TBNK,Kwilith,283.92,854.83,739.02,679200397
SAJA,Digitube,551.11,909.02,606.43,484283727
SHLO,Devpoint,208.41,751.17,534.9,245915390
PANL,Agivu,658.04,186.13,907.38,376703789
DCI,Omba,475.17,155.11,516.88,911014033
AIRT,Mydeo,282.4,478.45,234.48,980209443
LXU,Roodel,219.27,920.2,852.79,641215757
CONE,Wordify,416.24,527.23,970.27,718489249
GKOS,Devify,580.36,125.6,277.17,393590928
TRPX,Roodel,668.39,901.48,916.06,994022163
CTRL,Shufflester,829.36,295.56,208.38,579292691
BEBE,Devify,778.21,569.38,909,711687939
ZOES,Jaloo,571.15,546.66,368.35,192772147
CPIX,Innojam,554.09,865.83,665.02,285733174
LFUS,BlogXS,518.49,758.49,712.05,605487266
DFT^C,Wikivu,896.3,447.16,5.73,975854835
IAG,Gabtune,321.67,574.04,393.03,127649816
CBG,Rooxo,291.53,534.61,754.35,487877771
BAX,Twinte,635.99,952.31,673.57,920199377
WRB^C,Trudeo,577.05,123.58,241.46,716736985
SYPR,Mycat,358.02,557.77,553.04,138913460
MOTAW,Quatz,983.11,668.05,232.91,26768360
MLHR,Yadel,529.05,155.54,926.16,325020761
CX,Youbridge,494.61,688.18,128.11,351926808
AVA,Jaxbean,325.56,149.3,27.55,981111658
WDC,Katz,37.12,64,705.77,148617946
JJSF,Youtags,115.66,593.18,383.4,14366310
GCV,Fivechat,330.5,763.96,763.5,827096793
LINDW,Demimbu,950.01,123.41,266.96,924381570
WBS,Bluejam,397.33,764.27,632.52,404023809
EGT,Edgeblab,547.89,522.42,947.49,629595131
QNST,Linkbridge,46.64,92.03,965.81,583732683
OMAA,Meevee,797.21,703.82,222.6,956312134
BST,Katz,769.57,858.92,669.9,851994718
CBD,Realcube,719.12,821.46,738.73,162330249
IIF,Mynte,817.05,392.46,202.84,244189435
MULE,Dynava,772.59,7.92,125.94,27738475
MTFB,Zooxo,178.37,126.96,270.51,569763059
ETRM,Roombo,201.57,512.69,23.17,502129623
PID,Yoveo,121.63,939.48,842.36,472908889
CINF,Avamba,697.38,637.33,211.77,887777279
UTF,Centidel,928.26,62.36,797.66,536682328
LILA,Riffpath,545.51,449.52,585.84,48301134
ASH,Browseblab,524.34,568.67,545.79,555906611
RFIL,Skajo,793.43,562.22,46.4,921017278
APD,Skiba,911.27,102.04,165.16,378693975
CSGP,Avaveo,450.47,585.95,837.47,38929923
ABUS,Kimia,138.72,289.65,828.09,444973110
EVOK,Jetpulse,36.14,13.13,450.82,335906044
FBM,Meevee,887.66,147.9,712.19,593394996
AMCN,Miboo,939.33,769.08,533.72,869567433
HSIC,Skinder,471.61,5.41,412.42,865638954
STAR^D,Feedfish,7.92,359.71,586.69,150909318
IEP,Avamba,931.57,451.14,509.68,74941253
GSIT,Dynabox,283.74,513.78,600.58,559806092
IDT,Viva,703,649.48,34.03,391680353
WFC^P,Tavu,88.39,456.93,991.09,612301958
SCSC,Zoomdog,956.6,362.85,618.57,46370566
TCO,Topicshots,650.2,998.63,323.82,372910847
WNRL,Digitube,334.03,96.61,286.71,250593973
SMCP,Tambee,635.71,878.83,874.97,309739610
CERS,Tazz,795.87,186.26,62.13,688837502
CCL,Fatz,248.66,197.31,675.87,338397748
KOPN,Devbug,543.51,112.85,972.47,473481474
CBG,Jabbersphere,131.96,247.12,669.26,825920552
NC,Thoughtblab,794.05,158.99,588.78,239507054
VAR,Youbridge,806.78,286.95,14.53,539050124
BJRI,Topiclounge,866.38,221.09,373.24,856759999
CUBE,Yakitri,243.89,298.33,379.41,595951709
BDXA,Blogpad,81.61,477.39,758.62,797691614
IBB,Skynoodle,878.23,1.24,491.67,230310722
UNIT,Shufflebeat,295.16,443.41,348.29,770084751
